neighborhood,studio,1_bedroom,2_bedroom
Floral Park,1473.55,1650,2300
East Tremont,1428.9,1600,1800
Mill Basin,1250.28,1400,1950
Morrisania,1339.59,1500,1879
Midland Beach,1250.28,1400,1700
Gerritsen Beach,1562.85,1750,2600
Castle Hill,1692.35,1895,2300
Graniteville,1205.63,1350,1850
Grant City,1071.67,1200,1900
Co-Op City,1339.59,1500,1575
Castleton Corners,968.85,1084.87,1400
Travis - Chelsea,1245.67,1394.83,1800
Longwood,952.93,1067.04,1377
